gen_tech,gen_load_zone,gen_energy_source,period,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr
Battery_Storage,Manoa,Electricity,2020,0.057151451328781654,0.571514513287816,0.0
Battery_Storage,Manoa,Electricity,2025,0.06600752068691854,0.6600752068691862,0.0
Battery_Storage,Manoa,Electricity,2030,0.02956212638572925,0.29562126385729265,0.0
Battery_Storage,Manoa,Electricity,2035,0.003703483277873927,0.037034832778739264,0.0
NG_CG,Manoa,NaturalGas,2025,0.0,0.0,0.0
NG_CG,Manoa,NaturalGas,2030,25.62737157458315,0.0,10000.00000000054
NG_CG,Manoa,NaturalGas,2035,25.62737157458424,0.0,9999.999999999956
Rooftop_PV,Manoa,Solar,2020,0.5703316151979235,0.0,0.0
Rooftop_PV,Manoa,Solar,2025,0.5703316151979235,0.0,0.0
Rooftop_PV,Manoa,Solar,2030,0.5703316151979235,0.0,0.0
